"","age","gender","Impair","CI_low","CI_up","type"
"1","65-70","man",0.0934361869180302,0.0827313853210623,0.104140988514998,"tested"
"2","70-75","man",0.11170491164449,0.100027846937491,0.123381976351489,"tested"
"3","75-80","man",0.135184084943454,0.119979970205192,0.150388199681717,"tested"
"4","80-85","man",0.190167590508089,0.16766961112087,0.212665569895307,"tested"
"5","85+","man",0.329698091185293,0.297134563127557,0.362261619243029,"tested"
"6","65-70","woman",0.106592829242475,0.0968999200175002,0.116285738467451,"tested"
"7","70-75","woman",0.1279418510389,0.116528236519424,0.139355465558375,"tested"
"8","75-80","woman",0.202726091782557,0.186857076001999,0.218595107563114,"tested"
"9","80-85","woman",0.29144650578572,0.269581672531621,0.31331133903982,"tested"
"10","85+","woman",0.486132556819207,0.457834883655492,0.514430229982923,"tested"
"11","65-70","man",0.0989161460152067,0.0881025477846931,0.10972974424572,"reported_100"
"12","70-75","man",0.131672013908455,0.119026316865717,0.144317710951193,"reported_100"
"13","75-80","man",0.15937778802566,0.143053814123099,0.175701761928222,"reported_100"
"14","80-85","man",0.201373206291198,0.178252926275703,0.224493486306693,"reported_100"
"15","85+","man",0.328328809882922,0.295821414820296,0.360836204945549,"reported_100"
"16","65-70","woman",0.118110862515476,0.107928812597437,0.128292912433515,"reported_100"
"17","70-75","woman",0.141269095376891,0.129278685622017,0.153259505131765,"reported_100"
"18","75-80","woman",0.186111948507662,0.170873204875254,0.201350692140069,"reported_100"
"19","80-85","woman",0.270617688287365,0.249223956570578,0.292011420004151,"reported_100"
"20","85+","woman",0.390798449901983,0.363119989622737,0.41847691018123,"reported_100"
"21","65-70","man",0.0170734490524375,0.0122522834087781,0.0218946146960969,"reported_across"
"22","70-75","man",0.0309737414538647,0.0246322885646157,0.0373151943431136,"reported_across"
"23","75-80","man",0.0299486698609266,0.0225917346410343,0.0373056050808189,"reported_across"
"24","80-85","man",0.0422385864667727,0.0308814861523808,0.0535956867811646,"reported_across"
"25","85+","man",0.103234097264159,0.0820685027624662,0.124399691765851,"reported_across"
"26","65-70","woman",0.0229449988652083,0.0183568133150803,0.0275331844153364,"reported_across"
"27","70-75","woman",0.0347303275046569,0.028543355691952,0.0409172993173618,"reported_across"
"28","75-80","woman",0.0434334207843226,0.0355735969621394,0.0512932446065059,"reported_across"
"29","80-85","woman",0.0624562069093283,0.0505601782773523,0.0743522355413043,"reported_across"
"30","85+","woman",0.123913183375189,0.104911910007169,0.142914456743208,"reported_across"
