sex,age,AgeInt,nMx,nAx,nqx,lx,ndx,nLx,Sx,Tx,ex
man,0,1,0.00425,0.14,0.004234523,100000,423.4522819,99635.83104,0.995545472,7945680.462,79.45680462
man,1,4,0.000170764,1.510049425,0.000682767,99576.54772,67.98756199,398136.9052,0.999327198,7846044.631,78.79410173
man,5,5,8.24004E-05,2.439151963,0.000411915,99508.56016,40.98908248,497437.834,0.999551305,7447907.725,74.84690477
man,10,5,0.000104799,2.635282632,0.000523863,99467.57107,52.10735397,497214.6362,0.99913736,6950469.891,69.87674291
man,15,5,0.000293757,3.00183875,0.001467922,99415.46372,145.9341028,496785.7187,0.997903184,6453255.255,64.91198666
man,20,5,0.000501781,2.573525542,0.002505855,99269.52962,248.7550614,495744.0503,0.997269553,5956469.536,60.0029995
man,25,5,0.000595173,2.575426224,0.002971576,99020.77456,294.247776,494390.4473,0.996590836,5460725.486,55.14727097
man,30,5,0.000793718,2.627926316,0.003961134,98726.52678,391.0690161,492704.9894,0.99530762,4966335.039,50.30395782
man,35,5,0.001114211,2.649606837,0.005556506,98335.45776,546.401541,490393.0304,0.993098143,4473630.049,45.49356002
man,40,5,0.001696343,2.655494855,0.008448115,97789.05622,826.1331471,487008.4077,0.989694139,3983237.019,40.73295288
man,45,5,0.002488474,2.644483751,0.012369863,96962.92308,1199.418081,481989.3666,0.984871037,3496228.611,36.05737637
man,50,5,0.003668695,2.634159652,0.01818563,95763.50499,1741.519685,474697.3674,0.977166496,3014239.245,31.47586594
man,55,5,0.005786681,2.670977441,0.028548647,94021.98531,2684.200433,463858.3632,0.963443615,2539541.877,27.01008566
man,60,5,0.009386817,2.666843992,0.045928216,91337.78488,4194.981473,446901.3782,0.943346131,2075683.514,22.72535421
man,65,5,0.014230675,2.644545051,0.068845687,87142.8034,5999.406158,421582.6861,0.912161258,1628782.136,18.69095407
man,70,5,0.023637474,2.671506693,0.112021727,81143.39725,9089.823464,384551.3931,0.855570565,1207199.45,14.87735898
man,75,5,0.03999226,2.624465473,0.18261256,72053.57378,13157.88754,329010.8528,0.600058798,822648.0568,11.41717216
man,80,5,0.119309659,8.381551103,1,58895.68625,58895.68625,493637.204,0,493637.204,8.381551103
woman,0,1,0.003557,0.14,0.003546152,100000,354.6152249,99695.03091,0.996260747,8310646.988,83.10646988
woman,1,4,0.00014826,1.525121686,0.000592824,99645.38478,59.07219672,398435.3426,0.999427776,8210951.957,82.40172865
woman,5,5,6.99999E-05,2.525577407,0.000349939,99586.31258,34.84911047,497845.3315,0.999650762,7812516.615,78.4497027
woman,10,5,8.05977E-05,2.85964123,0.000402919,99551.46347,40.11115686,497671.4651,0.999378919,7314671.283,73.47628079
woman,15,5,0.000170794,2.711607111,0.000853635,99511.35231,84.94641782,497362.3708,0.999019699,6816999.818,68.50474503
woman,20,5,0.000212397,2.562666221,0.001061436,99426.40589,105.5347946,496874.8059,0.998800757,6319637.447,63.56095637
woman,25,5,0.000283185,2.684460309,0.001414998,99320.8711,140.5388295,496278.9323,0.998224305,5822762.641,58.62577097
woman,30,5,0.000436767,2.670836892,0.002181617,99180.33227,216.3734834,495397.6922,0.997272127,5326483.709,53.70503997
woman,35,5,0.000671324,2.66787716,0.003351372,98963.95879,331.6650115,494046.3104,0.995785211,4831086.017,48.81662048
woman,40,5,0.001042418,2.665007719,0.005199436,98632.29377,512.8323371,491964.0093,0.993459521,4337039.706,43.97180214
woman,45,5,0.001595869,2.626875063,0.007949238,98119.46144,779.9749614,488746.3292,0.990116088,3845075.697,39.18769672
woman,50,5,0.002471307,2.673869895,0.012285911,97339.48648,1195.904256,483915.6035,0.984578764,3356329.368,34.4806562
woman,55,5,0.003846131,2.672642307,0.019060041,96143.58222,1832.5006,476453.0267,0.975786407,2872413.765,29.87629229
woman,60,5,0.006091562,2.655768297,0.030028994,94311.08162,2832.066889,464916.3871,0.962943029,2395960.738,25.40486968
woman,65,5,0.009309545,2.67091849,0.045559865,91479.01473,4167.771564,447687.994,0.940668311,1931044.351,21.10915117
woman,70,5,0.015856068,2.689174769,0.076478135,87311.24317,6677.401025,421125.9091,0.899584969,1483356.357,16.98929374
woman,75,5,0.02753043,2.667149145,0.129345043,80633.84214,10429.58775,378838.538,0.643355602,1062230.448,13.17350655
woman,80,5,0.102729127,9.734337549,1,70204.25439,70204.25439,683391.9096,0,683391.9096,9.734337549
